id,c_fraccionarancelaria,descripcion
catalogos_fraccionarancelaria1397,20060001,"Frijoles (porotos, alubias, judías, fréjoles) (Vigna spp., Phaseolus spp.)."
catalogos_fraccionarancelaria1398,20060002,Espárragos.
catalogos_fraccionarancelaria1399,20060003,"Las demás hortalizas congeladas, excepto lo comprendido en las fracciones 2006.00.01 y 2006.00.02."
catalogos_fraccionarancelaria1400,20060099,Los demás.
catalogos_fraccionarancelaria1401,20071001,Preparaciones homogeneizadas.
catalogos_fraccionarancelaria1402,20079101,De agrios (cítricos).
catalogos_fraccionarancelaria1403,20079901,Compotas o mermeladas destinadas a diabéticos.
catalogos_fraccionarancelaria1404,20079902,"Jaleas, destinadas a diabéticos."
catalogos_fraccionarancelaria1405,20079903,Purés o pastas destinadas a diabéticos.
catalogos_fraccionarancelaria1406,20079904,"Mermeladas, excepto lo comprendido en la fracción 2007.99.01."
catalogos_fraccionarancelaria1407,20079999,Los demás.
catalogos_fraccionarancelaria1408,20081101,Sin cáscara.
catalogos_fraccionarancelaria1409,20081199,Los demás.
catalogos_fraccionarancelaria1410,20081901,Almendras.
catalogos_fraccionarancelaria1411,20081999,Los demás.
catalogos_fraccionarancelaria1412,20082001,Piñas (ananás).
catalogos_fraccionarancelaria1413,20083001,Cáscara de limón.
catalogos_fraccionarancelaria1414,20083002,"Cáscara de cítricos, excepto de naranja o limón."
catalogos_fraccionarancelaria1415,20083003,Pulpa de naranja.
catalogos_fraccionarancelaria1416,20083004,"Naranjas, excepto cáscara de naranja y pulpa de naranja."
catalogos_fraccionarancelaria1417,20083005,"Clementinas, excepto cáscara de clementinas y pulpa de clementinas."
catalogos_fraccionarancelaria1418,20083006,"Limas, excepto cáscara de lima y pulpa de lima."
catalogos_fraccionarancelaria1419,20083007,"Toronjas, excepto cáscara de toronja y pulpa de toronja."
catalogos_fraccionarancelaria1420,20083008,"Limón, excepto cáscara de limón y pulpa de limón."
catalogos_fraccionarancelaria1421,20083099,Los demás.
catalogos_fraccionarancelaria1422,20084001,Peras.
catalogos_fraccionarancelaria1423,20085001,"Chabacanos (damascos, albaricoques)."
catalogos_fraccionarancelaria1424,20086001,Cerezas.
catalogos_fraccionarancelaria1425,20087001,"Duraznos (melocotones), incluidos los griñones y nectarinas."
catalogos_fraccionarancelaria1426,20088001,Fresas (frutillas).
catalogos_fraccionarancelaria1427,20089101,Palmitos.
catalogos_fraccionarancelaria1428,20089201,Derogada
catalogos_fraccionarancelaria1429,20089301,"Arándanos rojos (Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea)."
catalogos_fraccionarancelaria1430,20089701,Mezclas.
catalogos_fraccionarancelaria1431,20089901,Nectarinas.
catalogos_fraccionarancelaria1432,20089999,Los demás.
catalogos_fraccionarancelaria1433,20091101,Congelado.
catalogos_fraccionarancelaria1434,20091201,Con un grado de concentración inferior o igual a 1.5.
catalogos_fraccionarancelaria1435,20091299,Los demás.
catalogos_fraccionarancelaria1436,20091901,Con un grado de concentración inferior o igual a 1.5.
catalogos_fraccionarancelaria1437,20091999,Los demás.
catalogos_fraccionarancelaria1438,20092101,De valor Brix inferior o igual a 20.
catalogos_fraccionarancelaria1439,20092999,Los demás.
catalogos_fraccionarancelaria1440,20093101,"Jugo de lima (Citrus aurantifolia, Citrus latifolia)."
catalogos_fraccionarancelaria1441,20093102,Derogada
catalogos_fraccionarancelaria1442,20093199,Los demás.
catalogos_fraccionarancelaria1443,20093901,"Jugo de lima (Citrus aurantifolia, Citrus latifolia)."
catalogos_fraccionarancelaria1444,20093902,Derogada
catalogos_fraccionarancelaria1445,20093999,Los demás.
catalogos_fraccionarancelaria1446,20094101,Sin concentrar.
catalogos_fraccionarancelaria1447,20094199,Los demás.
catalogos_fraccionarancelaria1448,20094901,Sin concentrar.
catalogos_fraccionarancelaria1449,20094999,Los demás.
catalogos_fraccionarancelaria1450,20095001,Jugo de tomate.
catalogos_fraccionarancelaria1451,20096101,De valor Brix inferior o igual a 30.
catalogos_fraccionarancelaria1452,20096999,Los demás.
catalogos_fraccionarancelaria1453,20097101,De valor Brix inferior o igual a 20.
catalogos_fraccionarancelaria1454,20097999,Los demás.
catalogos_fraccionarancelaria1455,20098001,Derogada
catalogos_fraccionarancelaria1456,20098101,"De arándanos rojos (Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea)."
catalogos_fraccionarancelaria1457,20098999,Los demás.
catalogos_fraccionarancelaria1458,20099001,Que contengan únicamente jugo de hortaliza.
catalogos_fraccionarancelaria1459,20099099,Los demás.
catalogos_fraccionarancelaria1460,21011101,Café instantáneo sin aromatizar.
catalogos_fraccionarancelaria1461,21011102,"Extracto de café líquido concentrado, aunque se presente congelado."
catalogos_fraccionarancelaria1462,21011199,Los demás.
catalogos_fraccionarancelaria1463,21011201,"Preparaciones a base de extractos, esencias o concentrados o a base de café."
catalogos_fraccionarancelaria1464,21012001,"Extractos, esencias y concentrados de té o de yerba mate y preparaciones a base de estos extractos, esencias o concentrados o a base de té o de yerba mate."
catalogos_fraccionarancelaria1465,21013001,"Achicoria tostada y demás sucedáneos del café tostados y sus extractos, esencias y concentrados."
catalogos_fraccionarancelaria1466,21021001,"Deshidratadas, cuando contengan hasta el 10% de humedad, excepto lo comprendido en la fracción 2102.10.02."
catalogos_fraccionarancelaria1467,21021002,De tórula.
catalogos_fraccionarancelaria1468,21021099,Las demás.
catalogos_fraccionarancelaria1469,21022001,Levaduras de tórula.
catalogos_fraccionarancelaria1470,21022099,Los demás.
catalogos_fraccionarancelaria1471,21023001,Preparaciones en polvo para hornear.
catalogos_fraccionarancelaria1472,21031001,Salsa de soja (soya).
catalogos_fraccionarancelaria1473,21032001,Ketchup.
catalogos_fraccionarancelaria1474,21032099,Las demás.
catalogos_fraccionarancelaria1475,21033001,Harina de mostaza.
catalogos_fraccionarancelaria1476,21033099,Las demás.
catalogos_fraccionarancelaria1477,21039099,Los demás.
catalogos_fraccionarancelaria1478,21041001,"Preparaciones para sopas, potajes o caldos; sopas, potajes o caldos, preparados."
catalogos_fraccionarancelaria1479,21042001,Preparaciones alimenticias compuestas homogeneizadas.
catalogos_fraccionarancelaria1480,21050001,"Helados, incluso con cacao."
catalogos_fraccionarancelaria1481,21061001,"Concentrados de proteína de soja (soya), excepto lo comprendido en la fracción 2106.10.04."
catalogos_fraccionarancelaria1482,21061002,Derogada
catalogos_fraccionarancelaria1483,21061003,"Preparación usada en panadería, pastelería y galletería, chocolatería y similares, cuando contenga 15% a 40% de proteínas, 0.9% a 5% de grasas, 45% a 70% de carbohidratos, 3% a 9% de minerales y 3% a 8% de humedad."
catalogos_fraccionarancelaria1484,21061004,"Concentrados de proteína de soja (soya), cuyo contenido de proteína sea inferior o igual al 50%."
catalogos_fraccionarancelaria1485,21061099,Los demás.
catalogos_fraccionarancelaria1486,21069001,Polvos para la elaboración de budines y gelatinas destinadas a diabéticos.
catalogos_fraccionarancelaria1487,21069002,"Preparación usada en panadería, pastelería y galletería, chocolatería y similares, cuando contenga 15% a 40% de proteínas, 0.9% a 5% de grasas, 45% a 70% de carbohidratos, 3% a 4% de minerales y 3% a 8% de humedad."
catalogos_fraccionarancelaria1488,21069003,Autolizados o extractos de levadura.
catalogos_fraccionarancelaria1489,21069004,"A base de corazón de res pulverizado, aceite de ajonjolí; almidón de tapioca, azúcar, vitaminas y minerales."
catalogos_fraccionarancelaria1490,21069005,Jarabes aromatizados o con adición de colorantes.
catalogos_fraccionarancelaria1491,21069006,"Concentrados de jugos de una sola fruta, legumbre u hortaliza, enriquecidos con minerales o vitaminas."
catalogos_fraccionarancelaria1492,21069007,"Mezclas de jugos concentrados de frutas, legumbres u hortalizas, enriquecidos con minerales o vitaminas."
catalogos_fraccionarancelaria1493,21069008,"Con un contenido de sólidos lácteos superior al 10%, en peso."
catalogos_fraccionarancelaria1494,21069009,Preparaciones a base de huevo.
catalogos_fraccionarancelaria1495,21069010,"Extractos y concentrados del tipo de los utilizados en la elaboración de bebidas que contengan alcohol, excepto las preparaciones a base de sustancias odoríferas de la partida 33.02."
catalogos_fraccionarancelaria1496,21069011,"Las demás preparaciones del tipo de las utilizadas en la elaboración de bebidas que contengan alcohol, excepto las preparaciones a base de sustancias odoríferas de la partida 33.02."
catalogos_fraccionarancelaria1497,21069012,"Derivados de proteína de leche, cuya composición sea: manteca de coco hidrogenada 44%, glucosa anhidra 38%, caseinato de sodio 10%, emulsificantes 6%, estabilizador 2%."
catalogos_fraccionarancelaria1498,21069099,Las demás.
catalogos_fraccionarancelaria1499,22011001,Agua mineral.
catalogos_fraccionarancelaria1500,22011099,Las demás.
catalogos_fraccionarancelaria1501,22019001,Agua potable.
catalogos_fraccionarancelaria1502,22019002,Hielo.
catalogos_fraccionarancelaria1503,22019099,Los demás.
catalogos_fraccionarancelaria1504,22021001,"Agua, incluidas el agua mineral y la gaseada, con adición de azúcar u otro edulcorante o aromatizada."
catalogos_fraccionarancelaria1505,22029001,A base de ginseng y jalea real.
catalogos_fraccionarancelaria1506,22029002,"A base de jugos de una sola fruta, legumbre u hortaliza, enriquecidos con minerales o vitaminas."
catalogos_fraccionarancelaria1507,22029003,"A base de mezclas de jugos de frutas, legumbres u hortalizas, enriquecidos con minerales o vitaminas."
catalogos_fraccionarancelaria1508,22029004,Que contengan leche.
catalogos_fraccionarancelaria1509,22029005,Bebidas llamadas cervezas sin alcohol.
catalogos_fraccionarancelaria1510,22029099,Las demás.
catalogos_fraccionarancelaria1511,22030001,Cerveza de malta.
catalogos_fraccionarancelaria1512,22041001,“Champagne”.
catalogos_fraccionarancelaria1513,22041099,Los demás.
catalogos_fraccionarancelaria1514,22042101,"Vinos generosos, cuya graduación alcohólica sea mayor de 14% Alc. Vol. a la temperatura de 20º C (equivalente a 14 grados centesimales Gay-Lussac a la temperatura de 15°C), en vasijería de barro, loza o vidrio."
catalogos_fraccionarancelaria1515,22042102,"Vinos tinto, rosado, clarete o blanco, cuya graduación alcohólica sea hasta de 14% Alc. Vol. a la temperatura de 20ºC (equivalente a 14 grados centesimales Gay-Lussac a la temperatura de 15°C), en vasijería de barro, loza o vidrio."
catalogos_fraccionarancelaria1516,22042103,"Vinos de uva, llamados finos, los tipos clarete con graduación alcohólica hasta de 14% Alc. Vol. a la temperatura de 20ºC (equivalente a 14 grados centesimales Gay-Lussac a la temperatura de 15°C), grado alcohólico mínimo de 11.5 grados a 12 grados, respectivamente, para vinos tinto y blanco, acidez volátil máxima de 1.30 grados por litro. Para vinos tipo ""Rhin"" la graduación alcohólica podrá ser de mínimo 11 grados. Certificado de calidad emitido por organismo estatal del país exportador. Botellas de capacidad no superior a 0.750 litros rotuladas con indicación del año de la cosecha y de la marca registrada de la viña o bodega de origen."
catalogos_fraccionarancelaria1517,22042199,Los demás.
catalogos_fraccionarancelaria1518,22042999,Los demás.
catalogos_fraccionarancelaria1519,22043099,Los demás mostos de uva.
catalogos_fraccionarancelaria1520,22051001,Vermuts.
catalogos_fraccionarancelaria1521,22051099,Los demás.
catalogos_fraccionarancelaria1522,22059001,Vermuts.
catalogos_fraccionarancelaria1523,22059099,Los demás.
catalogos_fraccionarancelaria1524,22060001,"Bebidas refrescantes a base de una mezcla de limonada y cerveza o vino, o de una mezcla de cerveza y vino (“wine coolers”)."
catalogos_fraccionarancelaria1525,22060099,Las demás.
catalogos_fraccionarancelaria1526,22071001,Alcohol etílico sin desnaturalizar con grado alcohólico volumétrico superior o igual a 80% vol.
catalogos_fraccionarancelaria1527,22072001,"Alcohol etílico y aguardientes desnaturalizados, de cualquier graduación."
catalogos_fraccionarancelaria1528,22082001,Cogñac.
catalogos_fraccionarancelaria1529,22082002,"Brandy o ""Wainbrand"" cuya graduación alcohólica sea igual o superior a 37.5 grados centesimales Gay-Lussac, con una cantidad total de sustancias volátiles que no sean los alcoholes etílico y metílico superior a 200 g/hl de alcohol a 100% vol., y envejecido, al menos, durante un año en recipientes de roble o durante seis meses como mínimo en toneles de roble de una capacidad inferior a 1,000 l."
catalogos_fraccionarancelaria1530,22082003,"Destilados puros de uva, cuya graduación alcohólica sea igual o superior a 80 grados centesimales Gay-Lussac, a la temperatura de 15º C, a granel."
catalogos_fraccionarancelaria1531,22082099,Los demás.
catalogos_fraccionarancelaria1532,22083001,Whisky canadiense (“Canadian whiskey”).
catalogos_fraccionarancelaria1533,22083002,"Whisky cuya graduación alcohólica sea mayor de 53 grados centesimales Gay-Lussac a la temperatura de 15º C, a granel."
catalogos_fraccionarancelaria1534,22083003,"Whisky o Whiskey cuya graduación alcohólica sea igual o superior a 40 grados centesimales Gay-Lussac, destilado a menos de 94.8% vol., de forma que el producto de la destilación tenga un aroma y un gusto procedente de las materias primas utilizadas, madurado, al menos, durante tres años en toneles de madera de menos de 700 litros de capacidad, en vasijería de barro, loza o vidrio."
catalogos_fraccionarancelaria1535,22083004,"Whisky ""Tennessee"" o whisky Bourbon."
catalogos_fraccionarancelaria1536,22083099,Los demás.
catalogos_fraccionarancelaria1537,22084001,Ron.
catalogos_fraccionarancelaria1538,22084099,Los demás.
catalogos_fraccionarancelaria1539,22085001,Gin y ginebra.
catalogos_fraccionarancelaria1540,22086001,Vodka.
catalogos_fraccionarancelaria1541,22087001,"De más de 14 grados sin exceder de 23 grados centesimales Gay-Lussac a la temperatura de 15°C, en vasijería de barro, loza o vidrio, excepto lo comprendido en la fracción 2208.70.02."
catalogos_fraccionarancelaria1542,22087002,"Licores que contengan aguardiente, o destilados, de agave."
catalogos_fraccionarancelaria1543,22087099,Los demás.
catalogos_fraccionarancelaria1544,22089001,Alcohol etílico.
catalogos_fraccionarancelaria1545,22089002,"Bebidas alcohólicas de más de 14 grados sin exceder de 23 grados centesimales Gay-Lussac a la temperatura de 15°C, en vasijería de barro, loza o vidrio, excepto lo comprendido en la fracción 2208.90.04."
catalogos_fraccionarancelaria1546,22089003,Tequila.
catalogos_fraccionarancelaria1547,22089004,"Las demás bebidas alcohólicas que contengan aguardiente, o destilados, de agave."
catalogos_fraccionarancelaria1548,22089005,Mezcal.
catalogos_fraccionarancelaria1549,22089099,Los demás.
catalogos_fraccionarancelaria1550,22090001,Vinagre y sucedáneos del vinagre obtenidos a partir del ácido acético.
catalogos_fraccionarancelaria1551,23011001,Harina.
catalogos_fraccionarancelaria1552,23011099,Los demás.
catalogos_fraccionarancelaria1553,23012001,"Harina, polvo y “pellets”, de pescado o de crustáceos, moluscos o demás invertebrados acuáticos."
catalogos_fraccionarancelaria1554,23021001,De maíz.
catalogos_fraccionarancelaria1555,23023001,De trigo.
catalogos_fraccionarancelaria1556,23024001,De arroz.
catalogos_fraccionarancelaria1557,23024099,Los demás.
catalogos_fraccionarancelaria1558,23025001,De leguminosas.
catalogos_fraccionarancelaria1559,23031001,Residuos de la industria del almidón y residuos similares.
catalogos_fraccionarancelaria1560,23032001,"Pulpa de remolacha, bagazo de caña de azúcar y demás desperdicios de la industria azucarera."
catalogos_fraccionarancelaria1561,23033001,Solubles y granos desecados de la destilación del maíz.
catalogos_fraccionarancelaria1562,23033099,Los demás.
catalogos_fraccionarancelaria1563,23040001,"Tortas y demás residuos sólidos de la extracción delaceite de soja (soya), incluso molidos o en ""pellets""."
catalogos_fraccionarancelaria1564,23050001,"Tortas y demás residuos sólidos de la extracción del aceite de cacahuate (cacahuete, maní), incluso molidos o en “pellets”."
catalogos_fraccionarancelaria1565,23061001,De semillas de algodón.
catalogos_fraccionarancelaria1566,23062001,De semillas de lino.
catalogos_fraccionarancelaria1567,23063001,De semillas de girasol.
catalogos_fraccionarancelaria1568,23064101,Con bajo contenido de ácido erúcico.
catalogos_fraccionarancelaria1569,23064999,Los demás.
catalogos_fraccionarancelaria1570,23065001,De coco o de copra.
catalogos_fraccionarancelaria1571,23066001,De nuez o de almendra de palma.
catalogos_fraccionarancelaria1572,23069001,De germen de maíz.
catalogos_fraccionarancelaria1573,23069099,Los demás.
catalogos_fraccionarancelaria1574,23070001,Lías o heces de vino; tártaro bruto.
catalogos_fraccionarancelaria1575,23080001,Bellotas y castañas de Indias.
catalogos_fraccionarancelaria1576,23080099,Los demás.
catalogos_fraccionarancelaria1577,23091001,"Alimentos para perros o gatos, acondicionados para la venta al por menor."
catalogos_fraccionarancelaria1578,23099001,Alimentos preparados para aves de corral consistentes en mezclas de semillas de distintas variedades vegetales trituradas.
catalogos_fraccionarancelaria1579,23099002,"Pasturas, aun cuando estén adicionadas de materias minerales."
catalogos_fraccionarancelaria1580,23099003,"Preparados forrajeros azucarados, de pulpa de remolacha adicionada con melaza."
catalogos_fraccionarancelaria1581,23099004,"Mezclas, preparaciones o productos de origen orgánico para la alimentación de peces de ornato."
catalogos_fraccionarancelaria1582,23099005,Preparación estimulante a base de 2% como máximo de vitamina H.
catalogos_fraccionarancelaria1583,23099006,"Preparación para la elaboración de alimentos balanceados, obtenida por reacción de sosa cáustica, ácido fosfórico y dolomita."
catalogos_fraccionarancelaria1584,23099007,"Preparados concentrados, para la elaboración de alimentos balanceados, excepto lo comprendido en las fracciones 2309.90.09, 2309.90.10 y 2309.90.11."
catalogos_fraccionarancelaria1585,23099008,"Sustituto de leche para becerros a base de caseína, leche en polvo, grasa animal, lecitina de soya, vitaminas, minerales y antibióticos, excepto lo comprendido en las fracciones 2309.90.10 y 2309.90.11."
catalogos_fraccionarancelaria1586,23099009,Concentrado o preparación estimulante a base de vitamina B12.
catalogos_fraccionarancelaria1587,23099010,"Con un contenido de sólidos lácteos superior al 10%, pero inferior o igual al 50%, en peso."
catalogos_fraccionarancelaria1588,23099011,"Alimentos preparados con un contenido de sólidos lácteos superior al 50%, en peso."
catalogos_fraccionarancelaria1589,23099099,Las demás.
catalogos_fraccionarancelaria1590,24011001,Tabaco para envoltura.
catalogos_fraccionarancelaria1591,24011099,Los demás.
catalogos_fraccionarancelaria1592,24012001,"Tabaco rubio, Burley o Virginia."
catalogos_fraccionarancelaria1593,24012002,Tabaco para envoltura.
catalogos_fraccionarancelaria1594,24012099,Los demás.
catalogos_fraccionarancelaria1595,24013001,Desperdicios de tabaco.
catalogos_fraccionarancelaria1596,24021001,"Cigarros (puros) (incluso despuntados) y cigarritos (puritos), que contengan tabaco."
catalogos_fraccionarancelaria1597,24022001,Cigarrillos que contengan tabaco.
catalogos_fraccionarancelaria1598,24029099,Los demás.
catalogos_fraccionarancelaria1599,24031001,Derogada
catalogos_fraccionarancelaria1600,24031101,Tabaco para pipa de agua mencionado en la Nota 1 de subpartida de este Capítulo.
catalogos_fraccionarancelaria1601,24031999,Los demás.
catalogos_fraccionarancelaria1602,24039101,Tabaco del tipo utilizado para envoltura de tabaco.
catalogos_fraccionarancelaria1603,24039199,Los demás.
catalogos_fraccionarancelaria1604,24039901,Rapé húmedo oral.
catalogos_fraccionarancelaria1605,24039999,Los demás.
catalogos_fraccionarancelaria1606,25010001,"Sal para uso y consumo humano directo, para uso en la industria alimentaria o para usos pecuarios, con antiaglomerantes o sin ellos, incluso yodada o fluorada; sal desnaturalizada."
catalogos_fraccionarancelaria1607,25010099,Las demás.
catalogos_fraccionarancelaria1608,25020001,Piritas de hierro sin tostar.
catalogos_fraccionarancelaria1609,25030001,Azufre en bruto y azufre sin refinar.
catalogos_fraccionarancelaria1610,25030099,Los demás.
catalogos_fraccionarancelaria1611,25041001,En polvo o en escamas.
catalogos_fraccionarancelaria1612,25049099,Los demás.
catalogos_fraccionarancelaria1613,25051001,Arenas silíceas y arenas cuarzosas. 
catalogos_fraccionarancelaria1614,25059099,Las demás. 
catalogos_fraccionarancelaria1615,25061001,Cuarzo.
catalogos_fraccionarancelaria1616,25062001,En bruto o desbastada. 
catalogos_fraccionarancelaria1617,25062099,Las demás.
catalogos_fraccionarancelaria1618,25070001,"Caolín y demás arcillas caolínicas, incluso calcinados. "
catalogos_fraccionarancelaria1619,25081001,Bentonita. 
catalogos_fraccionarancelaria1620,25083001,Arcillas refractarias. 
catalogos_fraccionarancelaria1621,25084001,Tierras decolorantes y tierras de batán.
catalogos_fraccionarancelaria1622,25084099,Las demás.
catalogos_fraccionarancelaria1623,25085001,"Andalucita, cianita y silimanita."
catalogos_fraccionarancelaria1624,25086001,Mullita. 
catalogos_fraccionarancelaria1625,25087001,Tierras de chamota o de dinas. 
catalogos_fraccionarancelaria1626,25090001,Creta. 
catalogos_fraccionarancelaria1627,25101001,"Fosfatos de calcio (fosforitas), naturales. "
catalogos_fraccionarancelaria1628,25101099,Los demás. 
catalogos_fraccionarancelaria1629,25102001,"Fosfatos de calcio (fosforitas), naturales. "
catalogos_fraccionarancelaria1630,25102099,Los demás. 
catalogos_fraccionarancelaria1631,25111001,Sulfato de bario natural (baritina).
catalogos_fraccionarancelaria1632,25112001,Carbonato de bario natural (witherita).
catalogos_fraccionarancelaria1633,25120001,"Harinas silíceas fósiles (por ejemplo: “Kieselguhr”, tripolita, diatomita) y demás tierras silíceas análogas, de densidad aparente inferior o igual a 1, incluso calcinadas."
catalogos_fraccionarancelaria1634,25131001,"En bruto o en trozos irregulares, incluida la quebrantada (grava de piedra pómez o “bimskies”)."
catalogos_fraccionarancelaria1635,25131099,Las demás.
catalogos_fraccionarancelaria1636,25132001,"Esmeril, corindón natural, granate natural y demás abrasivos naturales."
catalogos_fraccionarancelaria1637,25140001,"Pizarra, incluso desbastada o simplemente troceada, por aserrado o de otro modo, en bloques o en placas cuadradas o rectangulares."
catalogos_fraccionarancelaria1638,25151101,En bruto o desbastados.
catalogos_fraccionarancelaria1639,25151201,"Mármol aserrado en hojas, de espesor superior a 5 cm."
catalogos_fraccionarancelaria1640,25151299,Los demás. 
catalogos_fraccionarancelaria1641,25152001,“Ecaussines” y demás piedras calizas de talla o de construcción; alabastro. 
catalogos_fraccionarancelaria1642,25161101,En bruto o desbastado.
catalogos_fraccionarancelaria1643,25161201,"Simplemente troceado, por aserrado o de otro modo, en bloques o en placas cuadradas o rectangulares."
catalogos_fraccionarancelaria1644,25162001,Arenisca.
catalogos_fraccionarancelaria1645,25169099,Las demás piedras de talla o de construcción.
catalogos_fraccionarancelaria1646,25171001,"Cantos, grava, piedras machacadas, de los tipos generalmente utilizados para hacer hormigón, o para firmes de carreteras, vías férreas u otros balastos, guijarros y pedernal, incluso tratados térmicamente."
catalogos_fraccionarancelaria1647,25172001,"Macadán de escorias o de desechos industriales similares, incluso con materiales citados en la subpartida 2517.10."
catalogos_fraccionarancelaria1648,25173001,Macadán alquitranado. 
catalogos_fraccionarancelaria1649,25174101,De mármol. 
catalogos_fraccionarancelaria1650,25174999,Los demás.
catalogos_fraccionarancelaria1651,25181001,"Dolomita sin calcinar ni sinterizar, llamada ""cruda"". "
catalogos_fraccionarancelaria1652,25182001,Dolomita calcinada o sinterizada. 
catalogos_fraccionarancelaria1653,25183001,Aglomerado de dolomita. 
catalogos_fraccionarancelaria1654,25191001,Carbonato de magnesio natural (magnesita). 
catalogos_fraccionarancelaria1655,25199001,"Óxido de magnesio, excepto la magnesia electrofundida y la magnesia calcinada a muerte (sinterizada)."
catalogos_fraccionarancelaria1656,25199002,Magnesia calcinada a muerte (sinterizada) con un contenido de óxido de magnesio inferior o igual al 94%.
catalogos_fraccionarancelaria1657,25199003,"Óxido de magnesio electrofundido, con un contenido de óxido de magnesio inferior o igual a 98%."
catalogos_fraccionarancelaria1658,25199099,Los demás.
catalogos_fraccionarancelaria1659,25201001,Yeso natural; anhidrita. 
catalogos_fraccionarancelaria1660,25202001,Yeso fraguable.
catalogos_fraccionarancelaria1661,25210001,Castinas; piedras para la fabricación de cal o de cemento.
catalogos_fraccionarancelaria1662,25221001,Cal viva. 
catalogos_fraccionarancelaria1663,25222001,Cal apagada. 
catalogos_fraccionarancelaria1664,25223001,Cal hidráulica. 
catalogos_fraccionarancelaria1665,25231001,"Cementos sin pulverizar (""clinker""). "
catalogos_fraccionarancelaria1666,25232101,"Cemento blanco, incluso coloreado artificialmente."
catalogos_fraccionarancelaria1667,25232999,Los demás. 
catalogos_fraccionarancelaria1668,25233001,Cementos aluminosos.
catalogos_fraccionarancelaria1669,25239099,Los demás cementos hidráulicos. 
catalogos_fraccionarancelaria1670,25241001,En fibra o roca. 
catalogos_fraccionarancelaria1671,25241002,"En polvo o en copos, incluidos los desperdicios. "
catalogos_fraccionarancelaria1672,25249001,En fibra o roca. 
catalogos_fraccionarancelaria1673,25249002,"En polvo o en copos, incluidos los desperdicios. "
catalogos_fraccionarancelaria1674,25251001,Mica en bruto o exfoliada en hojas o en laminillas irregulares (“splittings”). 
catalogos_fraccionarancelaria1675,25252001,Mica en polvo. 
catalogos_fraccionarancelaria1676,25253001,Desperdicios de mica.
catalogos_fraccionarancelaria1677,25261001,Sin triturar ni pulverizar.
catalogos_fraccionarancelaria1678,25262001,Triturados o pulverizados.
catalogos_fraccionarancelaria1679,25280001,Boratos de sodio naturales y sus concentrados (incluso calcinados).
catalogos_fraccionarancelaria1680,25280099,Los demás.
catalogos_fraccionarancelaria1681,25281001,Derogada
catalogos_fraccionarancelaria1682,25289099,Derogada
catalogos_fraccionarancelaria1683,25291001,Feldespato. 
catalogos_fraccionarancelaria1684,25292101,Con un contenido de fluoruro de calcio inferior o igual al 97% en peso.
catalogos_fraccionarancelaria1685,25292201,Con un contenido de fluoruro de calcio superior al 97% en peso.
catalogos_fraccionarancelaria1686,25293001,Leucita; nefelina y nefelina sienita. 
catalogos_fraccionarancelaria1687,25301001,"Vermiculita, perlita y cloritas, sin dilatar."
catalogos_fraccionarancelaria1688,25302001,"Kieserita, epsomita (sulfatos de magnesio naturales)."
catalogos_fraccionarancelaria1689,25309001,Derogada
catalogos_fraccionarancelaria1690,25309002,Criolita natural; quiolita natural. 
catalogos_fraccionarancelaria1691,25309003,Pirofilita (silicato de aluminio natural).
catalogos_fraccionarancelaria1692,25309004,"Espuma de mar natural (incluso en trozos pulimentados) y ámbar natural (succino); espuma de mar y ámbar regenerados, en plaquitas, varillas, barras y formas similares, simplemente moldeadas; azabache."
catalogos_fraccionarancelaria1693,25309005,Sulfuros de arsénico naturales.
catalogos_fraccionarancelaria1694,25309006,"Arenas o harinas de circón micronizadas que contengan 70% o menos de óxido de circonio, con granulometría de más de 200 mallas. "
catalogos_fraccionarancelaria1695,25309007,"Molibdenita tratada para su aplicación como lubricante, sin calcinar o tostar con mallaje superior a 100."
catalogos_fraccionarancelaria1696,25309008,Tierras colorantes. 
catalogos_fraccionarancelaria1697,25309009,Oxidos de hierro micáceos naturales.
catalogos_fraccionarancelaria1698,25309099,Las demás. 
catalogos_fraccionarancelaria1699,26011101,Sin aglomerar.
catalogos_fraccionarancelaria1700,26011201,Aglomerados.
catalogos_fraccionarancelaria1701,26012001,Piritas de hierro tostadas (cenizas de piritas).
catalogos_fraccionarancelaria1702,26020001,Con un contenido de manganeso igual o superior a 46% en peso sobre producto seco.
catalogos_fraccionarancelaria1703,26020099,Los demás.
catalogos_fraccionarancelaria1704,26030001,Minerales de cobre y sus concentrados.
catalogos_fraccionarancelaria1705,26040001,Minerales de níquel y sus concentrados.
catalogos_fraccionarancelaria1706,26050001,Minerales de cobalto y sus concentrados.
catalogos_fraccionarancelaria1707,26060001,Bauxita calcinada.
catalogos_fraccionarancelaria1708,26060099,Los demás.
catalogos_fraccionarancelaria1709,26070001,Minerales de plomo y sus concentrados.
catalogos_fraccionarancelaria1710,26080001,Minerales de cinc y sus concentrados.
catalogos_fraccionarancelaria1711,26090001,Minerales de estaño y sus concentrados.
catalogos_fraccionarancelaria1712,26100001,Minerales de cromo.
catalogos_fraccionarancelaria1713,26100099,Los demás.
catalogos_fraccionarancelaria1714,26110001,Minerales de volframio (tungsteno) y sus concentrados.
catalogos_fraccionarancelaria1715,26121001,Minerales de uranio y sus concentrados.
catalogos_fraccionarancelaria1716,26122001,Minerales de torio y sus concentrados.
